"sample","function_type","function_id","function_label","count"
"B2","ko","ko:K02954","ko|ko:K02954",1
"B2","ko","ko:K02963","ko|ko:K02963",1
"B2","ko","ko:K02968","ko|ko:K02968",1
"B2","ko","ko:K02990","ko|ko:K02990",1
"B2","ko","ko:K02992","ko|ko:K02992",1
"B2","ko","ko:K03100","ko|ko:K03100",1
"B2","ko","ko:K03217","ko|ko:K03217",2
"B2","ko","ko:K03282","ko|ko:K03282",1
"B2","ko","ko:K03402","ko|ko:K03402",1
"B2","ko","ko:K03975","ko|ko:K03975",2
"B2","ko","ko:K06726","ko|ko:K06726",1
"B2","ko","ko:K06901","ko|ko:K06901",2
"B2","product","product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","product|product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG",1
"B2","product","product:30S ribosomal protein S10","product|product:30S ribosomal protein S10",1
"B2","product","product:30S ribosomal protein S11","product|product:30S ribosomal protein S11",1
"B2","product","product:30S ribosomal protein S12","product|product:30S ribosomal protein S12",1
"B2","product","product:30S ribosomal protein S18","product|product:30S ribosomal protein S18",1
"B2","product","product:30S ribosomal protein S20","product|product:30S ribosomal protein S20",1
"B2","product","product:30S ribosomal protein S3","product|product:30S ribosomal protein S3",1
"B2","product","product:30S ribosomal protein S5","product|product:30S ribosomal protein S5",1
"B2","product","product:50S ribosomal protein L10","product|product:50S ribosomal protein L10",1
"B2","product","product:50S ribosomal protein L13","product|product:50S ribosomal protein L13",1
"B2","product","product:50S ribosomal protein L15","product|product:50S ribosomal protein L15",1
"B2","product","product:50S ribosomal protein L16","product|product:50S ribosomal protein L16",1
"B2","product","product:50S ribosomal protein L23","product|product:50S ribosomal protein L23",1
"B2","product","product:50S ribosomal protein L29","product|product:50S ribosomal protein L29",1
"B2","product","product:50S ribosomal protein L3","product|product:50S ribosomal protein L3",1
"B2","product","product:50S ribosomal protein L33","product|product:50S ribosomal protein L33",2
"B2","product","product:6-phosphofructokinase","product|product:6-phosphofructokinase",1
"B2","product","product:ABC transmembrane type-1 domain-containing protein","product|product:ABC transmembrane type-1 domain-containing protein",6
"B2","product","product:ABC transporter ATP-binding protein","product|product:ABC transporter ATP-binding protein",4
"B2","product","product:ABC transporter domain-containing protein","product|product:ABC transporter domain-containing protein",3
"B2","product","product:ABC transporter permease","product|product:ABC transporter permease",5
"B2","product","product:ABC transporter substrate-binding protein","product|product:ABC transporter substrate-binding protein",3
"B2","product","product:ATP-binding cassette domain-containing protein","product|product:ATP-binding cassette domain-containing protein",3
"B2","product","product:ATP-binding protein","product|product:ATP-binding protein",2
"B2","product","product:Acetyltransferase","product|product:Acetyltransferase",3
"B2","product","product:Alcohol dehydrogenase","product|product:Alcohol dehydrogenase",4
"B2","product","product:Asp23/Gls24 family envelope stress response protein","product|product:Asp23/Gls24 family envelope stress response protein",1
"B2","product","product:D-ribose pyranase","product|product:D-ribose pyranase",1
"B2","product","product:DNA-binding protein","product|product:DNA-binding protein",2
